track_id,track_name,artists,popularity
7vZz8oJ5qAqB9MghufRK5k,Zinda,"Shankar-Ehsaan-Loy, Siddharth Mahadevan",66
0OA00aPt3BV10qeMIs3meW,Big Dawgs,"Hanumankind, Kalmi",78
4OssqCixV2Xsxd43wMIQyS,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign",20
1DIXPcTDzTj8ZMHt3PDt8p,Gangsta's Paradise,"Coolio, L.V.",85
7gZwhDmzciskHbZemjf931,Kar Har Maidaan Fateh,"Sukhwinder Singh, Shreya Ghoshal",49
3kSBSSsXtebECjCggW87yq,Sultan,"Vishal-Shekhar, Sukhwinder Singh, Shadab Faridi, Irshad Kamil",59
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,AC/DC,85
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,AC/DC,85
6Ec5LeRzkisa5KJtwLfOoW,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","Metro Boomin, A$AP Rocky, Roisee",75
6E90gq0KO6FYZVOXx8kCcC,Astronaut In The Ocean,Masked Wolf,67
2KH16WveTQWT6KOG9Rg6e2,Eye of the Tiger,Survivor,76
23lDDFpPqVktmCcUhc0ytw,Requiem: K. 626: Lacrimosa,"Wolfgang Amadeus Mozart, Czech Symphony Orchestra, Michaela Rózsa Růžičková, Czech Symphony Choir",57
6JyihARD2zGUa4uB4NfQiv,"Swan Lake (Suite), Op. 20a, TH.219: I. Scene - Swan Theme","Pyotr Ilyich Tchaikovsky, Czech Symphony Orchestra, Michaela Rózsa Růžičková",58
3Qpj345VRGBSwuOSwFgoQI,Romeo and Juliet Suite No. 2 Montague and Capulets (Excerpt) Op. 64ter,"Sergei Prokofiev, Czech Symphony Orchestra, Michaela Rózsa Růžičková",55
70EAyoNV7Coaw5ACubFL3F,Gymnopédie No.1,"Erik Satie, Czech Symphony Orchestra, Michaela Rózsa Růžičková",55
2gHbwIiB4qLxX2CGOttFWm,Clair de Lune,"Claude Debussy, Czech Symphony Orchestra, Michaela Rózsa Růžičková",53
6R8ixKUNWLYrhXIHoT3Ukt,"Nocturne Op. 9, No. 2 in E-Flat Major",Joshua Bell,41
3Mxz2QmltUtN1Xaq5MsVK0,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Johann Sebastian Bach, Steven Honigberg",51
6YeewctU7LSmaEx27JDFgD,"Beethoven: Für Elise, Bagatelle No. 25 in A minor, Wo0 59","Ludwig van Beethoven, Mimosa",51
3C0DdR3Hm2sRTp7pcJlQje,Requiem: II. Dies irae,"Giuseppe Verdi, Czech Symphony Orchestra, Czech Symphony Choir, Michaela Rózsa Růžičková",52
09LzEGbSBQNntC5LsBfBnP,Il Barbiere di Siviglia: Overture: Allegro Vivo (Excerpt),"Gioachino Rossini, Czech Symphony Orchestra, Michaela Rózsa Růžičková",47
35cWKZdNsSKxrcLz2oPDRm,"Peer Gynt Suite No. 1, Op. 46: IV. In the Hall of the Mountain King","Edvard Grieg, The City of Prague Philharmonic Orchestra, Richard Hein",44
7FiRmbIcWrQ15NbRRvgCAz,Clair de Lune,"Claude Debussy, Sonia Bize",49
6Ymt2WH3CVaBs40jC0Ubew,"Barber: Adagio For Strings, Op. 11","Samuel Barber, Michaela Rózsa Růžičková, Czech Symphony Orchestra",50
35xaDoyCRAi1JqpwDT8P1x,William Tell: Overture (Finale),"Gioachino Rossini, Czech Symphony Orchestra, Michaela Rózsa Růžičková",49
1CiQLTserlabm0rYFkfTpn,"2 Arabesques, L. 66: Arabesque No. 1","Claude Debussy, Sonia Bize",48
76BfKpZqnuNCZtbN8N3s4C,"Concerto No. 4 in F Minor, Op. 8, RV 297, ""L'inverno"" (Winter): I. Allegro Non Molto","Antonio Vivaldi, The City of Prague Philharmonic Chamber Group, Richard Hein, The City of Prague Philharmonic Orchestra, Vlastimil Kobrie",53
59w7BDURGIPguRoOcZzrWu,Can-Can From Orpheus in the Underworld,"Jacques Offenbach, Czech Symphony Orchestra, Michaela Rózsa Růžičková",51
6RLwSsknomGUcImWZePZqa,Masquerade Suite: Waltz,"Aram Khachaturian, Michaela Rózsa Růžičková, Czech Symphony Orchestra",47
0n6YgVRCdQzUJq4WT4dQmZ,"Danse Macabre in G Minor, Op. 40","Camille Saint-Saëns, Czech Symphony Orchestra, Michaela Rózsa Růžičková, Pavel Sochurek",45
4EO4loGQDjboWfiCcPWnzJ,Le Cygne (arr. for harp and cello),"Camille Saint-Saëns, Steven Honigberg, Sonia Bize",43
4quC8GgYCGt7umJpINBkCf,"Hungarian Dance No. 5 in G Minor, WoO 1","Johannes Brahms, Czech Symphony Orchestra, Michaela Rózsa Růžičková",50
